LIFCL40-NX
Pin,Name
1,DPHY0_DP2
2,DPHY0_DN2
3,DPHY0_DN0
4,DPHY0_DP0
5,VCCPLL_ULC
5,VCC
6,VCC
6,VCC
7,VCCAUXA
7,VCCAUX
8,PB12BPCLKC5_3/VREF5_2
9,PB12APCLKT5_3
10,PB8BPCLKC5_1/LLC_GPLL0C_IN/ADC_CN3
11,PB8APCLKT5_1/LLC_GPLL0T_IN/ADC_CP3
12,VCCPLL_LLC
12,VCCCDR
12,VCCECLK
13,PB4BCDR_RXN0/ADC_CN0/COMP1N
14,PB4ACDR_RXP0/VREF5_1/ADC_CP0/COMP1P
15,PB6BPCLKC5_0/CDR_RXN1/ADC_CN1/COMP2N
16,PB6APCLKT5_0/CDR_RXP1/ADC_CP1/COMP2P
17,VCCAUXH5
18,VCCIO5
19,PB10APCLKT5_2/ADC_CP2/COMP3P
20,PB10BPCLKC5_2/ADC_CN2/COMP3N
21,VCC
21,VCC
21,VCC
21,VCCECLK
21,VCC
22,PB54APCLKT3_0/VREF3_1/ADC_CP5
23,PB54BPCLKC3_0/ADC_CN5
24,PB58APCLKT3_1/ADC_CP6
25,PB58BPCLKC3_1/ADC_CN6
26,VCCIO3
27,PB68AADC_CP8
28,PB68BADC_CN8
29,VCCAUXH3
30,PB72APCLKT3_2/ADC_CP13
31,PB72BPCLKC3_2/ADC_CN13
32,VCCIO3
33,PB74APCLKT3_3/ADC_CP14
34,PB74BPCLKC3_3/ADC_CN14
35,VCC
35,VCC
35,VCC
36,PB84ALRC_GPLL0T_IN
37,PB84BLRC_GPLL0C_IN/VREF3_2
38,VCCECLK
38,VCCECLK
38,VCCADC
38,VCCPLL_LRC
39,VCCADC18
40,VCC
40,VCC
40,VCC
41,PR13ATCK/SCLK/PMU_EXT_CLK
42,PR11ASDA/USER_SDA
43,PR13BPMU_WAKEUP
44,PR11BSCL/USER_SCL
45,PR10BTDO/SSO
46,PR8BTDI/SSI
47,VCCAUX
47,VCCAUXA
48,PR6BTMS/SCSN
49,VCCIO1
50,JTAG_EN
51,PT80AMISO/MD1
52,PT82AMD3
53,PT82BMCSNO/MSDO
54,VCCIO0
55,PT80BMD2
56,PT78AMCSN/PCLKT0_1
57,PT78BMOSI/MD0
58,PT76BDONE
59,PT76AMCLK/PCLKT0_0
60,PT74BPROGRAMN
61,PT74AINITN
62,VCC
62,VCC
63,VCCPLLDPHY0
64,DPHY0_DP3
65,DPHY0_DN3
66,DPHY0_DP1
67,DPHY0_DN1
68,DPHY0_CKP
69,DPHY0_CKN
70,VCCDPHY0
71,VCCADPHY0
72,VCCDPHY0
