"Source:","/home/greg/projects/ArcticKoala/hw/ArcticKoala-r0.1/arctic-koala.sch"
"Date:","Mon 16 Dec 2019 09:15:44 ACDT"
"Tool:","Eeschema 5.1.4-e60b266~84~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","117"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Description","Key","MFN","Mfg","PN","Source"
"","","C1","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C2","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C3","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C4","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C5","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C6","4u7","pkl_C","pkl_dipol:C_0603","","","","cap-cer-0402-4u7","","Samsung Electro-Mechanics","CL10A475KP8NNNC","ANY"
"","","C7","22pF","C","pkl_dipol:C_0402","~","","","","","Samsung Electro-Mechanics","CL05C220JB5NNNC",""
"","","C8","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C9","4u7","pkl_C","pkl_dipol:C_0603","","","","cap-cer-0402-4u7","","Samsung Electro-Mechanics","CL10A475KP8NNNC","ANY"
"","","C10","4.7uF","C","pkl_dipol:C_0402","~","","","","","Samsung Electro-Mechanics","CL05A475MP5NRNC",""
"","","C11","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C12","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C13","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C14","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C15","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C16","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C17","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C18","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C19","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C20","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C21","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C22","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"","","C23","100n","pkl_C_Small","pkl_dipol:C_0402","","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
